customer_state,delivered_orders,average_delivery_days,average_delay_days,delayed_orders,delayed_order_rate
AL,397,24.54,2.21,95,0.2393
MA,717,21.57,1.96,141,0.1967
PI,476,19.46,1.96,76,0.1597
CE,1279,21.27,2.2,196,0.1532
SE,335,21.52,2.57,51,0.1522
BA,3256,19.34,1.56,457,0.1404
RJ,12350,15.31,1.73,1664,0.1347
TO,274,17.66,0.72,35,0.1277
PA,946,23.77,1.52,117,0.1237
ES,1995,15.79,1.3,244,0.1223
RR,41,29.39,4.52,5,0.122
MS,701,15.62,0.89,81,0.1155
PB,517,20.43,1.15,57,0.1103
PE,1593,18.45,1.22,172,0.108
RN,474,19.28,1.41,51,0.1076
SC,3546,14.95,0.75,346,0.0976
GO,1957,15.61,0.8,160,0.0818
RS,5344,15.3,0.67,382,0.0715
DF,2080,12.97,0.47,147,0.0707
MT,886,18.06,0.68,60,0.0677
SP,40494,8.76,0.41,2387,0.0589
MG,11354,12.01,0.42,637,0.0561
PR,4923,11.99,0.37,246,0.05
AP,67,27.19,2.19,3,0.0448
AM,145,26.43,0.86,6,0.0414
AC,80,21.04,0.71,3,0.0375
RO,243,19.37,0.18,7,0.0288
